date	close
13/01/02	153
06/03/00	153
15/03/05	243
08/11/15	43
01/11/06	32
29/11/12	232
10/03/00	138
10/10/06	108
14/10/00	228
16/03/00	286
23/04/98	384
27/12/06	263
04/03/12	465
13/11/15	304
04/09/07	223
01/07/03	394
21/08/01	465
03/07/03	378
07/03/99	158
18/08/12	302
12/10/04	305
07/01/12	444
25/10/99	15
09/03/07	393
15/11/04	38
12/10/09	57
11/06/11	441
27/05/11	443
04/09/04	26
29/09/01	168
15/05/00	284
26/04/98	9
30/08/02	277
03/12/01	444
23/06/13	71
06/10/06	221
20/04/15	165
29/01/04	122
05/01/13	155
10/11/09	356
18/03/08	419
19/04/11	158
08/01/00	167
20/06/10	223
11/11/04	382
21/12/04	132
29/12/11	156
11/12/07	331
23/04/10	161
10/11/11	436
28/03/01	137
13/01/10	411
27/04/02	226
16/11/13	124
19/08/10	115
22/07/02	268
17/05/07	401
16/02/99	326
18/08/14	359
01/08/14	260
18/11/07	251
11/12/14	52
23/09/00	212
27/09/12	308
21/02/16	361
23/05/05	384
18/01/13	419
12/11/98	58
28/04/99	258
11/10/10	473
07/05/15	109
28/03/08	177
29/09/98	204
11/04/09	458
07/12/01	303
14/04/99	277
27/02/07	182
21/03/05	423
19/01/12	61
12/04/15	401
20/09/10	43
28/04/08	323
01/06/04	200
11/05/03	462
14/02/14	357
02/11/06	242
03/12/99	323
02/03/99	399
10/11/04	81
24/08/14	311
05/06/01	436
05/06/06	235
10/01/05	59
16/09/02	373
07/10/04	416
31/05/06	484
01/06/13	239
24/03/13	8
08/08/04	160
11/02/12	334
