date	close	open
13.1.2002	153	621
6.3.2000	153	99
15.3.2005	243	568
8.11.2015	43	539
1.11.2006	32	639
29.11.2012	232	121
10.3.2000	138	696
10.10.2006	108	732
14.10.2000	228	455
16.3.2000	286	193
23.4.1998	384	529
27.12.2006	263	510
4.3.2012	465	545
13.11.2015	304	107
4.9.2007	223	671
1.7.2003	394	229
21.8.2001	465	324
3.7.2003	378	601
7.3.1999	158	383
18.8.2012	302	356
12.10.2004	305	420
7.1.2012	444	625
25.10.1999	15	142
9.3.2007	393	291
15.11.2004	38	327
12.10.2009	57	508
11.6.2011	441	223
27.5.2011	443	470
4.9.2004	26	502
29.9.2001	168	374
15.5.2000	284	609
26.4.1998	9	710
30.8.2002	277	239
3.12.2001	444	741
23.6.2013	71	596
6.10.2006	221	143
20.4.2015	165	676
29.1.2004	122	677
5.1.2013	155	95
10.11.2009	356	273
18.3.2008	419	89
19.4.2011	158	563
8.1.2000	167	700
20.6.2010	223	70
11.11.2004	382	651
21.12.2004	132	427
29.12.2011	156	747
11.12.2007	331	675
23.4.2010	161	758
10.11.2011	436	602
28.3.2001	137	391
13.1.2010	411	170
27.4.2002	226	60
16.11.2013	124	256
19.8.2010	115	528
22.7.2002	268	644
17.5.2007	401	179
16.2.1999	326	189
18.8.2014	359	667
1.8.2014	260	792
18.11.2007	251	128
11.12.2014	52	359
23.9.2000	212	750
27.9.2012	308	294
21.2.2016	361	608
23.5.2005	384	177
18.1.2013	419	323
12.11.1998	58	247
28.4.1999	258	18
11.10.2010	473	774
7.5.2015	109	682
28.3.2008	177	110
29.9.1998	204	557
11.4.2009	458	633
7.12.2001	303	763
14.4.1999	277	168
27.2.2007	182	563
21.3.2005	423	337
19.1.2012	61	720
12.4.2015	401	193
20.9.2010	43	372
28.4.2008	323	256
1.6.2004	200	324
11.5.2003	462	368
14.2.2014	357	125
2.11.2006	242	718
3.12.1999	323	136
2.3.1999	399	447
10.11.2004	81	633
24.8.2014	311	284
5.6.2001	436	119
5.6.2006	235	90
10.1.2005	59	334
16.9.2002	373	221
7.10.2004	416	169
31.5.2006	484	474
1.6.2013	239	520
24.3.2013	8	51
8.8.2004	160	32
11.2.2012	334	307
